#{"t_start": 1749649383.255042, "env_id": "None"}
r,l,t
0.0,1,6.341607
-3.210332,3,7.734055
0.839359,2,8.692138
0.703032,2,9.572141
0.424763,2,10.435453
-2.760828,2,11.286896
-1.842286,2,12.150873
0.0,1,12.606801
0.0,1,13.052689
0.0,1,13.490546
0.0,1,13.933744
0.0,1,14.430922
0.0,1,14.814312
0.0,1,15.239011
0.0,1,15.671968
0.0,1,16.095931
0.0,1,16.519325
0.0,1,16.930295
0.0,1,17.353676
0.0,1,17.782082
0.0,1,18.203334
0.0,1,18.633529
0.0,1,19.056693
0.0,1,19.486069
0.0,1,19.922368
0.0,1,20.359453
0.0,1,20.806984
0.0,1,21.25152
0.0,1,21.708445
0.0,1,22.160585
0.0,1,22.611348
0.0,1,23.077046
0.0,1,23.537597
0.0,1,24.010283
0.0,1,24.47206
0.0,1,24.9432
0.0,1,25.411766
0.0,1,25.886066
0.0,1,26.362589
0.0,1,26.84955
0.0,1,27.331152
0.0,1,27.813924
0.0,1,28.299072
0.0,1,28.955407
0.0,1,29.419084
0.0,1,29.955826
0.0,1,30.438696
0.0,1,30.95099
0.0,1,31.459054
0.0,1,31.973004
0.0,1,32.491674
0.0,1,33.032639
0.0,1,33.512247
0.0,1,34.009748
0.0,1,34.513692
0.0,1,35.012917
0.0,1,35.534137
0.0,1,36.039904
0.0,1,36.547602
0.0,1,37.061821
0.0,1,37.577788
0.0,1,38.094303
0.0,1,38.606968
0.0,1,39.15877
0.0,1,39.64521
0.0,1,40.168602
0.0,1,40.69544
0.0,1,41.271109
0.0,1,41.804914
0.0,1,42.388364
0.0,1,43.024031
0.0,1,43.477543
0.0,1,44.075904
0.0,1,44.592305
0.0,1,45.142207
0.0,1,45.707646
0.0,1,46.243762
0.0,1,46.813298
0.0,1,47.375186
0.0,1,47.947303
0.0,1,48.507307
0.0,1,49.07848
0.0,1,49.634246
0.0,1,50.197396
0.0,1,50.805948
0.0,1,51.317087
0.0,1,51.993618
0.0,1,52.432742
0.0,1,53.102546
0.0,1,53.551684
0.0,1,54.11903
0.0,1,54.673624
0.0,1,55.227599
0.0,1,55.983706
0.0,1,56.5313
0.0,1,57.116355
0.0,1,57.690933
0.0,1,58.26688
0.0,1,58.859566
0.0,1,59.431792
0.0,1,60.019249
0.0,1,60.599436
0.0,1,61.159856
0.0,1,61.713912
0.0,1,62.275291
0.0,1,62.955004
0.0,1,63.383265
0.0,1,63.974806
0.0,1,64.496848
0.0,1,65.047443
0.0,1,65.600511
0.0,1,66.169922
0.0,1,66.729077
0.0,1,67.292852
0.0,1,67.850447
0.0,1,68.398354
0.0,1,68.981772
0.0,1,69.541294
0.0,1,70.132708
0.0,1,70.711915
0.0,1,71.285993
0.0,1,71.96107
0.0,1,72.457627
0.0,1,72.995376
0.0,1,73.582684
0.0,1,74.148122
0.0,1,74.706366
0.0,1,75.278695
0.0,1,75.837392
0.0,1,76.388819
0.0,1,76.949575
0.0,1,77.506332
0.0,1,78.062313
0.0,1,78.627254
0.0,1,79.308858
0.0,1,79.746357
0.0,1,80.308404
0.0,1,80.867273
0.0,1,81.44445
0.0,1,82.00378
0.0,1,82.55673
0.0,1,83.137651
0.0,1,83.708815
0.0,1,84.497749
0.0,1,85.095112
0.0,1,85.689009
0.0,1,86.279816
0.0,1,86.856014
0.0,1,87.428695
0.0,1,88.041174
